antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"fasole verde, rosie",bors crud,0.05266781411359724,0.10533562822719449,0.05025817555938038,0.954248366013072,9.059122559699262,1.0,0.04471037827237151,19.5548069830342,0.9390729531697992,0.4664536741214058,0.9488616788256922,0.7156862745098039
"ardei gras, fasole verde",bors crud,0.0351118760757315,0.10533562822719449,0.033390705679862305,0.9509803921568627,9.028098167371525,1.0,0.029692174155189727,18.251153184165215,0.9215935797801325,0.3118971061093247,0.9452089415989559,0.6339869281045751
"bors crud, ulei",fasole verde,0.08984509466437177,0.05783132530120482,0.046815834767642,0.521072796934866,9.01021711366539,1.0,0.041619973871389174,1.9672481927710845,0.976773160096111,0.46416382252559735,0.49167573076207,0.6652983032293378
"rice glutinous, polished, steamed, soup, chicken broth","chicken, meat",0.06884681583476764,0.055077452667814115,0.034079173838209985,0.49500000000000005,8.98734375,1.0,0.030287266597740857,1.8711337570934377,0.954442764054594,0.37931034482758624,0.4655646630236795,0.556875
"ardei gras, varza",bors crud,0.03648881239242685,0.10533562822719449,0.03442340791738382,0.9433962264150942,8.956098162535454,1.0,0.030579835940763297,15.80573723465287,0.9219864237227582,0.3205128205128205,0.936731834450115,0.6350968060180047
"bors crud, varza",patrunjel radacina,0.039931153184165236,0.10981067125645438,0.039242685025817556,0.9827586206896551,8.949573019133068,1.0,0.03485781829062007,51.63098106712554,0.9252074251602476,0.35514018691588783,0.9806317838760433,0.6700626959247649
"patrunjel radacina, varza",bors crud,0.04165232358003442,0.10533562822719449,0.039242685025817556,0.9421487603305786,8.944255388105656,1.0,0.03485521135439224,15.464912712072804,0.926799758015729,0.3642172523961662,0.9353374947134786,0.6573488899692108
"smantana, telina",ardei gras,0.05335628227194492,0.08296041308089501,0.039586919104991396,0.7419354838709677,8.94324722259403,1.0,0.03516045988725001,3.5535283993115323,0.9382450592885374,0.4092526690391459,0.7185895572992348,0.6095569535537412
"ardei gras, patrunjel radacina",cartofi,0.04509466437177281,0.10671256454388985,0.043029259896729774,0.9541984732824427,8.941763112533858,1.0,0.038217092614371916,19.503442340791704,0.9301081470800288,0.39556962025316456,0.9487269999558752,0.6787121398670277
"cartofi, rosie",fasole verde,0.07194492254733219,0.05783132530120482,0.03717728055077452,0.5167464114832535,8.935406698564591,1.0,0.033016610331169774,1.9496361684361203,0.956932080448401,0.40148698884758355,0.48708378712416933,0.5798017771701982
